candidate_score,project_name,symbol,base_asset,identity_symbol,market_cap_usd,is_small_project,is_meme,event_count,max_volume_ratio,peak_event_date,peak_abs_return_pct,peak_intraday_range_pct,bar_count,first_bar_date,last_bar_date,chain_id,contract_address,last_close,normalized_token_price,web3_price_usd,identity_price_ratio,web3_tags
212.5313926596282,zerebro,ZEREBROUSDT,ZEREBRO,ZEREBRO,39645798.76761253,True,True,42,105.87310131388156,2025-10-11,264.424778761062,436.2397820163488,399,2025-07-02,2026-08-04,CT_501,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,0.040547,0.040547,0.03964785462421219,1.022678285730969,Pumpfun|Alpha|DEX Paid
207.93935220684136,Test Token,TSTUSDT,TST,TST,9431302.555430152,True,True,29,290.76041285210783,2026-05-04,70.67096011040286,135.00810372771474,399,2025-07-02,2026-08-04,56,0x86bb94ddd16efc8bc58e6b056e8df71d9e666429,0.00997,0.00997,0.010040341388396505,1.0070553047539124,Fourmeme|Community Recognized
206.45973258136775,TAC Token,TACUSDT,TAC,TAC,12798370.60737508,True,False,39,287.53128712629285,2026-06-29,171.73411711508027,206.7970547630005,386,2025-07-15,2026-08-04,CT_607,UQBE_gBrU3mPI9hHjlJoR_kYyrhQgyCFD6EUWfa42W8T7B2K,0.003385,0.003385,0.003391922422722193,1.0020450288691856,
205.18572885982218,Mind Network,FHEUSDT,FHE,FHE,18467374.11319455,True,False,42,236.70976119970618,2025-12-07,148.46938775510208,220.9242618741977,399,2025-07-02,2026-08-04,56,0xd55c9fb62e176a8eb6968f32958fefdd0962727e,0.02328,0.02328,0.024212941546341998,1.0400748086916667,Alpha
205.00265196869563,Sapien,SAPIENUSDT,SAPIEN,SAPIEN,19466584.471010584,True,False,22,238.42048707677023,2025-11-06,178.83499838865617,373.91970057842803,350,2025-08-20,2026-08-04,8453,0xc729777d0470f30612b1564fd96e8dd26f5814e3,0.07823,0.07823,0.07786633788404235,1.0046703379899438,Community Recognized|DEX Paid
204.27283167435925,Tensor,TNSRUSDT,TNSR,TNSR,24016919.114095416,True,False,22,1077.3632840658136,2025-11-20,221.52437451637869,390.2399568616878,399,2025-07-02,2026-08-04,CT_501,TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6,0.03059,0.03059,0.030641998284483416,1.0016998458477744,Community Recognized
203.02424867764148,Nillion,NILUSDT,NIL,NIL,34402513.18851809,True,False,19,183.07643093729618,2026-05-07,111.16193961573649,153.25984990619136,399,2025-07-02,2026-08-04,1,0x7cf9a80db3b29ee8efe3710aadb7b95270572d47,0.03524,0.03524,0.03411026203640684,1.0331201783905195,
200.9840897998994,Lorenzo Governance Token,BANKUSDT,BANK,BANK,61888510.39796355,True,False,46,800.1057010213958,2026-07-19,103.26673866090714,153.56119307929097,399,2025-07-02,2026-08-04,56,0x3aee7602b612de36088f3ffed8c8f10e86ebf2bf,0.05244,0.05244,0.0510548780686194,1.0271300605109457,TGE
200.60586207414684,BNB Attestation,BASUSDT,BAS,BAS,69006260.84082167,True,False,39,82.60656171730416,2025-10-13,134.20207396531154,319.44444444444446,344,2025-08-26,2026-08-04,56,0x0f0df6cb17ee5e883eddfef9153fc6036bdb4e37,0.026702,0.026702,0.027602504336328666,1.0337242280102115,Alpha|DEX Paid
199.6501013967224,Pippin,PIPPINUSDT,PIPPIN,PIPPIN,17297120.53046314,True,True,41,94.15713895146212,2025-10-25,45.56307202546756,135.64102564102564,399,2025-07-02,2026-08-04,CT_501,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,0.01768,0.01768,0.01729825750272283,1.0220682630731497,Pumpfun|Alpha|DEX Paid
